order_id,customer_id,product_id,quantity,order_date
1,167,241,4,2026-03-01
2,576,232,3,2024-10-15
3,466,162,3,2025-04-17
4,763,381,5,2024-08-25
5,923,231,1,2026-01-13
6,106,271,2,2026-02-07
7,820,226,1,2025-08-02
8,430,160,3,2026-03-06
9,452,122,4,2026-01-22
10,709,242,2,2026-07-05
11,416,220,1,2025-09-07
12,811,56,4,2025-02-26
13,289,1,2,2025-12-20
14,281,411,1,2026-01-22
15,615,251,5,2025-06-01
16,167,306,2,2025-11-02
17,191,360,2,2024-08-03
18,924,103,2,2025-08-15
19,239,234,1,2025-05-13
20,30,455,1,2024-08-31
21,446,75,1,2026-07-13
22,589,268,1,2026-04-13
23,771,329,5,2025-08-14
24,526,147,3,2024-12-27
25,799,360,4,2025-09-21
26,883,277,4,2025-10-23
27,124,393,1,2026-03-11
28,993,249,3,2025-06-12
29,172,163,1,2026-04-04
30,357,297,5,2025-12-14
31,862,122,1,2025-09-19
32,321,27,1,2026-02-10
33,760,333,5,2025-01-18
34,886,438,1,2024-07-26
35,842,468,3,2026-03-10
36,228,405,4,2026-03-28
37,434,141,4,2025-08-10
38,598,194,5,2025-01-04
39,655,151,5,2024-11-10
40,727,308,4,2025-11-04
41,194,25,3,2026-06-11
42,138,324,1,2025-09-30
43,812,107,4,2025-11-01
44,508,357,5,2025-07-10
45,963,377,5,2025-02-13
46,147,498,4,2025-04-16
47,517,340,4,2025-08-05
48,158,100,5,2026-03-30
49,80,65,2,2025-06-29
50,420,20,5,2026-04-26
51,265,455,5,2026-04-20
52,176,438,3,2025-10-20
53,822,396,3,2026-04-27
54,494,311,4,2024-10-30
55,390,238,5,2025-10-08
56,927,298,4,2026-04-13
57,579,391,2,2025-02-14
58,122,351,2,2024-08-30
59,901,381,2,2025-05-18
60,549,396,5,2025-11-24
61,836,235,1,2025-12-22
62,955,358,1,2025-04-22
63,386,162,5,2025-09-06
64,260,191,1,2026-04-17
65,144,312,4,2026-06-23
66,36,174,3,2025-09-08
67,840,177,3,2025-12-14
68,524,3,1,2024-12-29
69,695,311,4,2026-04-13
70,813,144,1,2025-12-26
71,20,77,1,2024-12-03
72,864,377,1,2024-08-08
73,301,24,4,2025-01-28
74,505,329,3,2025-07-01
75,397,424,3,2025-03-28
76,299,371,4,2024-12-01
77,491,490,4,2026-05-11
78,462,422,1,2025-01-21
79,184,125,2,2025-10-17
80,890,24,2,2024-11-24
81,731,32,4,2025-03-11
82,360,7,2,2025-07-26
83,984,163,4,2025-08-08
84,753,20,2,2026-07-13
85,272,297,5,2024-09-05
86,230,369,4,2024-10-31
87,564,90,2,2025-02-10
88,272,471,2,2025-04-20
89,483,301,1,2026-06-14
90,673,109,2,2026-03-02
91,44,451,1,2026-03-12
92,193,284,4,2025-10-29
93,504,363,3,2024-10-29
94,298,73,4,2025-04-19
95,108,153,1,2024-12-05
96,484,330,1,2025-09-25
97,927,270,5,2025-03-10
98,621,401,3,2026-03-18
99,681,309,1,2025-11-09
100,589,15,4,2025-12-03
101,139,470,1,2025-06-09
102,493,460,1,2025-03-25
103,728,372,2,2026-03-26
104,1,203,1,2024-09-03
105,231,173,2,2026-01-28
106,772,499,2,2024-09-12
107,90,322,4,2024-12-14
108,45,365,4,2024-09-08
109,509,171,5,2025-11-22
110,601,154,2,2024-09-15
111,978,224,5,2026-03-15
112,289,447,3,2025-06-05
113,149,192,2,2025-09-08
114,821,220,4,2025-12-24
115,206,137,4,2025-07-30
116,46,119,2,2025-11-07
117,163,368,5,2025-11-28
118,283,387,3,2025-02-08
119,193,21,1,2025-11-25
120,285,500,5,2025-06-19
121,827,236,1,2026-05-17
122,365,268,2,2025-06-24
123,826,365,2,2025-04-17
