product_id,product_name,category,price,stock
1,Product 1,Electronics,4341.4,492
2,Product 2,Electronics,1829.16,499
3,Product 3,Furniture,1743.11,379
4,Product 4,Furniture,3472.76,310
5,Product 5,Office,4566.25,290
6,Product 6,Accessories,4090.54,492
7,Product 7,Accessories,2872.95,100
8,Product 8,Accessories,881.22,10
9,Product 9,Electronics,4716.51,14
10,Product 10,Electronics,3648.08,337
11,Product 11,Accessories,1419.92,24
12,Product 12,Furniture,3150.17,138
13,Product 13,Electronics,4481.74,486
14,Product 14,Accessories,3030.67,428
15,Product 15,Electronics,2090.27,232
16,Product 16,Office,3574.22,430
17,Product 17,Electronics,1807.02,465
18,Product 18,Office,1194.12,378
19,Product 19,Furniture,3347.01,303
20,Product 20,Accessories,3567.48,224
21,Product 21,Electronics,575.14,417
22,Product 22,Electronics,2131.28,440
23,Product 23,Electronics,4922.64,386
24,Product 24,Furniture,4454.85,396
25,Product 25,Accessories,1324.39,40
26,Product 26,Electronics,2923.61,342
27,Product 27,Electronics,245.4,338
28,Product 28,Electronics,4148.63,20
29,Product 29,Electronics,1402.89,10
30,Product 30,Accessories,1319.67,84
31,Product 31,Office,3773.15,125
32,Product 32,Accessories,1797.79,327
33,Product 33,Office,788.62,224
34,Product 34,Office,3091.18,182
35,Product 35,Electronics,550.3,459
36,Product 36,Accessories,4485.22,346
37,Product 37,Electronics,665.89,48
38,Product 38,Furniture,2294.3,362
39,Product 39,Electronics,2109.83,277
40,Product 40,Accessories,2011.67,102
41,Product 41,Furniture,3237.78,317
42,Product 42,Office,2906.67,170
43,Product 43,Accessories,497.64,388
44,Product 44,Electronics,1421.28,348
45,Product 45,Accessories,4055.27,330
46,Product 46,Accessories,2914.38,369
47,Product 47,Office,803.88,450
48,Product 48,Accessories,885.22,285
49,Product 49,Accessories,3180.1,248
50,Product 50,Furniture,1268.03,98
51,Product 51,Furniture,1424.55,478
52,Product 52,Office,3191.32,166
53,Product 53,Office,1209.98,393
54,Product 54,Accessories,2235.2,218
55,Product 55,Electronics,3738.23,65
56,Product 56,Office,3024.97,425
57,Product 57,Electronics,1405.83,369
58,Product 58,Accessories,3569.17,398
59,Product 59,Electronics,1565.43,499
60,Product 60,Electronics,3433.34,405
61,Product 61,Office,4524.52,413
62,Product 62,Electronics,565.6,62
63,Product 63,Electronics,764.66,223
64,Product 64,Office,1517.96,243
65,Product 65,Accessories,178.52,391
66,Product 66,Office,1087.56,299
67,Product 67,Office,1573.41,417
68,Product 68,Office,1427.37,19
